"","Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","fem_occ_professional","num_occupants_crowded","phone_service","Cluster"
"415",37063002028,0.594590818631724,0.0932924508872879,0.477465066481741,0.399475935191707,0.148448397573394,0,0.128478023961518,0.306825520478951,0.71509807781915,0.534589128358968,0.430774895170642,0.112272178284768,0.989743318610787,3
"416",37063002100,0.515636317621025,0.0771516749810459,0.305516056116375,0.268606299436316,0.319025171066217,0,0,0.150187852296528,0.273266858847938,0.446251499881101,0.376503735281352,0,0.990172801520395,1
"417",37063002200,0.438505520593284,0.298773386905802,0.604104733250479,0.470387465623917,0.318097976102581,0,0.121199280264873,0.201326514389559,0.855880541064428,0.539878870037341,0.410811079540277,0.258198889747161,0.982904723213422,3
"418",37063002300,0.762524294018933,0.484890758438484,0.774596669241483,0.774596669241483,0.665197912587523,0.36514837167011,0.211288563682129,0.223208566271412,0.974226535073186,0,0,0.340692571934624,1,2
"419",37063980100,0,0,0,0,0,NA,0,0.714285714285714,0,0,NA,0,1,4
"420",37077970101,0.67499369923557,0.302439549989314,0.546545291109066,0.509175077217315,0.469427565549228,0,0.19235116909125,0.224448704017136,0.438520028832296,0.156422776814577,0.131132632078241,0.101377967487422,0.991225636827359,2
"421",37077970102,0.597932664436559,0.133722494890033,0.610869678987165,0.423353210896612,0.432633555041951,1,0.173957891472339,0.219149072070757,0.529042902775399,0,0.149841597421375,0.190921892899808,0.992405827268889,2
"422",37077970200,0.585143044446225,0.204185804845249,0.646399387246127,0.528885885347945,0.446710542927354,0.0635000635000953,0.0695257999450998,0.251553181010136,0.526215627988288,0.154984604267813,0.247332838668151,0,0.98784149321132,1
"423",37077970300,0.522737360798026,0.259817173412892,0.568588755332677,0.507968629458607,0.473591427564501,0.282842712474619,0.13117601756564,0.289377508223306,0.655565964857785,0.254216148857888,0.076696498884737,0.120664386253198,0.993692883136449,1
"424",37077970400,0.805863846953999,0.415590006813736,0.701735749195985,0.650064920193097,0.475018823851646,NA,0.161894031450683,0.313409639334663,0.758452922810903,0.257607368031416,0,0.173902085910063,0.977914722407366,2
